Date,Time,Cosmic Radiation,Temperature,Barometric Pressure,Relative Humidity
1/10/2016,0:05:00,7956,23.18,1022.44,55.28
1/10/2016,0:10:00,8019,23.18,1022.44,55.23
1/10/2016,0:15:00,8127,23.19,1022.55,55.21
1/10/2016,0:20:00,8296,23.2,1022.6,55.23
1/10/2016,0:25:00,7957,23.21,1022.58,55.22
1/10/2016,0:30:00,8067,23.22,1022.55,55.25
1/10/2016,0:35:00,7894,23.23,1022.5,55.26
1/10/2016,0:40:00,7894,23.25,1022.56,55.36
1/10/2016,0:45:00,8004,23.27,1022.58,55.35
1/10/2016,0:50:00,8119,23.28,1022.63,55.34
1/10/2016,0:55:00,7940,23.28,1022.71,55.33
1/10/2016,1:00:00,7995,23.28,1022.73,55.34
1/10/2016,1:05:00,7986,23.29,1022.73,55.32
1/10/2016,1:10:00,8060,23.29,1022.76,55.34
1/10/2016,1:15:00,8056,23.31,1022.8,55.36
1/10/2016,1:20:00,8002,23.31,1022.78,55.4
1/10/2016,1:25:00,7973,23.32,1022.76,55.41
1/10/2016,1:30:00,8018,23.32,1022.68,55.45
1/10/2016,1:35:00,8086,23.34,1022.76,55.48
1/10/2016,1:40:00,8081,23.34,1022.71,55.49
1/10/2016,1:45:00,8105,23.36,1022.72,55.5
1/10/2016,1:50:00,7870,23.36,1022.75,55.58
1/10/2016,1:55:00,7938,23.35,1022.68,55.67
1/10/2016,2:00:00,8033,23.36,1022.59,55.61
1/10/2016,2:05:00,8070,23.38,1022.64,55.65
1/10/2016,2:10:00,8073,23.37,1022.56,55.7
1/10/2016,2:15:00,8148,23.38,1022.49,55.73
1/10/2016,2:20:00,7884,23.39,1022.42,55.76
1/10/2016,2:25:00,7984,23.4,1022.47,55.86
1/10/2016,2:30:00,7828,23.41,1022.48,55.94
1/10/2016,2:35:00,7966,23.41,1022.35,55.9
1/10/2016,2:40:00,7919,23.41,1022.32,55.88
1/10/2016,2:45:00,7912,23.41,1022.36,55.95
1/10/2016,2:50:00,7937,23.42,1022.29,55.96
1/10/2016,2:55:00,8009,23.42,1022.29,55.99
1/10/2016,3:00:00,8184,23.43,1022.23,56
